Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
NYY,24,29.3,4.65,103,59,0.636,4.26,162,162,159,3,8,1,51,1450,1386,753,687,181,574,28,1260,71,5,66,6247,108,4.32,1.352,8.6,1.1,3.6,7.8,2.2,1144,5.65,162,6449,5660,915,1604,325,21,244,881,111,28,663,1014,0.283,0.362,0.478,0.839,114,2703,144,54,31,39,35,1238
OAK,26,25.7,4.7,75,87,0.463,4.26,162,162,160,2,10,2,38,1447.1,1486,761,685,156,523,30,1124,36,2,43,6243,103,4.1,1.388,9.2,1,3.3,7,2.15,1140,4.69,162,6247,5584,759,1464,307,21,135,723,133,48,527,1046,0.262,0.328,0.397,0.726,92,2218,130,50,31,54,16,1130
PHI,22,31.2,4.38,93,69,0.574,4.16,162,162,154,8,9,5,44,1455.2,1479,709,673,189,489,31,1153,75,2,28,6263,101,4.36,1.352,9.1,1.2,3,7.1,2.36,1187,5.06,162,6338,5578,820,1439,312,35,224,788,119,28,589,1155,0.258,0.334,0.447,0.781,104,2493,90,71,55,45,47,1192
PIT,26,26.3,4.77,62,99,0.385,4.59,161,161,156,5,7,2,28,1418.1,1491,768,723,152,563,37,919,47,3,52,6144,91,4.48,1.448,9.5,1,3.6,5.8,1.63,1121,3.95,161,6058,5417,636,1364,289,34,125,612,90,32,499,1142,0.252,0.318,0.387,0.705,87,2096,124,46,60,36,44,1124
SDP,33,26.8,4.75,75,87,0.463,4.37,162,162,160,2,9,1,45,1450.2,1422,769,704,167,603,58,1187,45,8,52,6273,87,4.3,1.396,8.8,1,3.7,7.4,1.97,1152,3.94,162,6179,5425,638,1315,265,31,141,605,82,29,586,1182,0.242,0.321,0.381,0.701,93,2065,131,57,74,36,52,1168
SEA,20,27.4,4.27,85,77,0.525,3.87,162,162,158,4,10,2,49,1452.2,1359,692,625,172,534,13,1043,43,5,61,6159,110,4.39,1.303,8.4,1.1,3.3,6.5,1.95,1109,3.95,162,6113,5543,640,1430,280,19,160,613,89,33,421,1093,0.258,0.314,0.402,0.716,92,2228,124,49,56,44,39,1121
SFG,21,28.7,3.77,88,74,0.543,3.55,162,162,151,11,18,3,41,1446,1268,611,571,140,584,49,1302,41,3,71,6103,120,3.85,1.281,7.9,0.9,3.6,8.1,2.23,1154,4.06,162,6057,5493,657,1411,275,43,122,612,78,28,392,1158,0.257,0.309,0.389,0.699,82,2138,115,50,67,55,41,1080
STL,20,30.1,3.95,91,71,0.562,3.66,162,162,154,8,11,4,43,1440.2,1407,640,586,123,460,23,1049,53,5,43,6087,112,3.82,1.296,8.8,0.8,2.9,6.6,2.28,1125,4.51,162,6168,5465,730,1436,294,29,160,694,75,31,528,1041,0.263,0.332,0.415,0.747,98,2268,127,61,68,43,73,1152
TBR,21,28.4,4.65,84,78,0.519,4.33,162,162,159,3,5,3,41,1427.1,1421,754,686,183,515,22,1125,46,5,46,6146,100,4.37,1.356,9,1.2,3.2,7.1,2.18,1110,4.96,162,6223,5462,803,1434,297,36,199,765,194,61,642,1229,0.263,0.343,0.439,0.782,106,2400,104,49,25,45,36,1151
TEX,23,27.7,4.57,87,75,0.537,4.38,162,162,154,8,11,3,45,1434.2,1432,740,698,171,531,14,1016,70,8,45,6172,106,4.49,1.368,9,1.1,3.3,6.4,1.91,1128,4.84,162,6127,5526,784,1436,296,27,224,748,149,36,472,1253,0.26,0.32,0.445,0.764,95,2458,97,37,40,51,23,1059
TOR,24,28.4,4.76,75,87,0.463,4.47,162,162,152,10,10,4,25,1451,1509,771,720,181,551,26,1181,58,4,43,6281,100,4.35,1.42,9.4,1.1,3.4,7.3,2.14,1157,4.93,162,6362,5696,798,1516,339,13,209,766,73,23,548,1028,0.266,0.333,0.44,0.773,102,2508,130,45,24,49,23,1195
WSN,30,27.4,5.4,59,103,0.364,5,162,162,156,6,3,1,33,1424.1,1533,874,791,173,629,59,911,48,5,74,6349,85,4.82,1.518,9.7,1.1,4,5.8,1.45,1200,4.38,162,6273,5493,710,1416,271,38,156,685,73,40,617,1208,0.258,0.337,0.406,0.743,96,2231,133,56,64,42,39,1223
LgAvg,22,28.4,4.61,81,81,0.5,4.31,162,162,157,5,,,40,1442,1451,747,691,168,554,39,1120,53,5,53,6236,101,4.32,1.39,9.1,1,3.5,7,2.02,1161,4.61,162,6236,5528,747,1451,291,32,168,712,99,38,554,1120,0.262,0.333,0.418,0.751,97,2310,127,53,55,46,39,1161
,664,28.4,4.61,2430,2430,0.5,4.31,4860,4860,4708,152,,,1202,43272,43524,22419,20731,5042,16620,1179,33591,1590,138,1600,187079,101,4.32,1.39,9.1,1,3.5,7,2.02,34842,4.61,4860,187079,165849,22419,43524,8737,949,5042,21364,2970,1133,16620,33591,0.262,0.333,0.418,0.751,97,69285,3796,1590,1635,1366,1179,34842
