Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,23,27.6,4.29,81,81,0.5,3.92,162,162,156,6,7,2,38,1495,1460,695,651,176,485,42,1218,60,3,84,6338,99,4.04,1.301,8.8,1.1,2.9,7.3,2.51,1158,4.23,162,6334,5676,685,1468,302,31,130,647,62,41,519,1142,0.259,0.323,0.391,0.715,96,2222,160,43,50,43,51,1160
ATL,21,27.2,3.38,96,66,0.593,3.18,162,162,161,1,12,0,53,1450.1,1326,548,512,127,409,35,1232,51,3,50,5989,118,3.44,1.196,8.2,0.8,2.5,7.6,3.01,1090,4.25,162,6133,5441,688,1354,247,21,181,656,64,31,542,1384,0.249,0.321,0.402,0.723,99,2186,119,55,58,35,36,1132
BAL,26,27.9,4.38,85,77,0.525,4.2,162,162,160,2,6,1,57,1453,1438,709,678,202,473,32,1169,50,3,38,6144,98,4.33,1.315,8.9,1.3,2.9,7.2,2.47,1076,4.6,162,6144,5620,745,1460,298,14,212,719,79,29,416,1125,0.26,0.313,0.431,0.744,101,2422,105,36,27,45,36,1053
BOS,26,30.2,4.05,97,65,0.599,3.79,162,162,157,5,8,2,33,1454,1366,656,613,156,524,10,1294,47,5,47,6143,109,3.84,1.3,8.5,1,3.2,8,2.47,1125,5.27,162,6382,5651,853,1566,363,29,178,819,123,19,581,1308,0.277,0.349,0.446,0.795,116,2521,137,72,24,50,51,1212
CHC,31,28.7,4.25,66,96,0.407,4,162,162,159,3,6,1,39,1448,1332,689,643,160,540,43,1184,62,4,59,6149,97,4.1,1.293,8.3,1,3.4,7.4,2.19,1116,3.72,162,6079,5498,602,1307,297,18,172,576,63,32,439,1230,0.238,0.3,0.392,0.693,89,2156,120,67,43,30,28,1092
CHW,24,27.1,4.46,63,99,0.389,3.98,162,162,157,5,5,1,40,1455,1424,723,643,182,509,24,1249,60,4,62,6214,106,4.13,1.329,8.8,1.1,3.1,7.7,2.45,1126,3.69,162,6077,5563,598,1385,237,19,148,574,105,42,411,1207,0.249,0.302,0.378,0.68,84,2104,124,34,19,48,23,1068
CIN,20,27.7,3.64,90,72,0.556,3.38,162,162,157,5,17,2,43,1473.2,1294,589,554,170,435,28,1296,66,5,44,6077,112,3.81,1.173,7.9,1,2.7,7.9,2.98,1067,4.31,162,6293,5499,698,1370,274,20,155,664,67,35,585,1245,0.249,0.327,0.391,0.718,98,2149,129,76,85,46,65,1191
CLE,28,27.5,4.09,92,70,0.568,3.82,162,162,159,3,16,3,38,1441.1,1359,662,611,147,554,26,1379,58,3,71,6154,100,3.73,1.327,8.5,0.9,3.5,8.6,2.49,1168,4.6,162,6165,5465,745,1391,290,23,171,711,117,36,562,1283,0.255,0.327,0.41,0.737,107,2240,106,51,31,56,19,1126
COL,23,28.3,4.69,74,88,0.457,4.44,162,162,161,1,5,0,35,1436,1545,760,708,136,517,52,1064,40,15,62,6248,101,3.96,1.436,9.7,0.9,3.2,6.7,2.06,1180,4.36,162,6152,5599,706,1511,283,36,159,673,112,32,427,1204,0.27,0.323,0.418,0.741,91,2343,111,26,65,35,26,1118
DET,20,28.4,3.85,93,69,0.574,3.61,162,162,159,3,12,1,39,1462.2,1369,624,587,128,462,29,1428,42,7,63,6119,116,3.27,1.252,8.4,0.8,2.8,8.8,3.09,1107,4.91,162,6388,5735,796,1625,292,23,176,767,35,20,531,1073,0.283,0.346,0.434,0.78,111,2491,146,43,32,47,40,1250
HOU,26,27.2,5.23,51,111,0.315,4.79,162,162,160,2,5,1,32,1440,1530,848,766,191,616,32,1084,56,6,61,6370,85,4.67,1.49,9.6,1.2,3.9,6.8,1.76,1202,3.77,162,6020,5457,610,1307,266,16,148,566,110,61,426,1535,0.24,0.299,0.375,0.674,86,2049,110,52,46,38,17,1007
KCR,21,28.9,3.71,86,76,0.531,3.45,162,162,157,5,12,2,52,1448.1,1366,601,555,155,469,21,1208,41,4,60,6049,120,3.83,1.267,8.5,1,2.9,7.5,2.58,1103,4,162,6093,5549,648,1443,254,34,112,620,153,32,422,1048,0.26,0.315,0.379,0.694,89,2101,131,42,37,42,38,1110
LAA,26,29.1,4.55,78,84,0.481,4.23,162,162,158,4,12,2,41,1457.2,1475,737,685,167,533,36,1200,45,4,74,6298,89,4.08,1.378,9.1,1,3.3,7.4,2.25,1188,4.52,162,6260,5588,733,1476,270,39,164,696,82,34,523,1221,0.264,0.329,0.414,0.743,110,2316,150,48,37,64,40,1144
LAD,27,28.1,3.59,92,70,0.568,3.25,162,162,155,7,22,4,46,1450.1,1321,582,524,127,460,44,1292,43,3,66,6032,110,3.44,1.228,8.2,0.8,2.9,8,2.81,1099,4.01,162,6145,5491,649,1447,281,17,138,618,78,28,476,1146,0.264,0.326,0.396,0.722,103,2176,130,57,71,48,45,1175
MIA,26,26,3.99,62,100,0.383,3.71,162,162,160,2,13,1,36,1460,1376,646,602,121,526,58,1177,47,2,53,6166,104,3.69,1.303,8.5,0.7,3.2,7.3,2.24,1140,3.17,162,6021,5449,513,1257,219,31,95,485,78,29,432,1232,0.231,0.293,0.335,0.627,73,1823,131,56,57,26,31,1080
MIL,21,28.8,4.24,74,88,0.457,3.84,162,162,158,4,15,2,40,1442.2,1401,687,615,175,466,29,1125,43,2,51,6100,101,4.12,1.294,8.7,1.1,2.9,7,2.41,1085,3.95,162,6064,5474,640,1381,238,43,157,610,142,50,407,1183,0.252,0.311,0.398,0.708,93,2176,116,71,77,35,22,1071
MIN,23,28.3,4.86,66,96,0.407,4.55,162,162,161,1,7,1,40,1450.1,1591,788,733,168,458,31,985,44,4,50,6257,90,4.23,1.413,9.9,1,2.8,6.1,2.15,1118,3.79,162,6212,5564,614,1346,285,15,151,590,52,33,533,1430,0.242,0.312,0.38,0.692,90,2114,103,52,29,32,20,1206
NYM,29,29.1,4.22,74,88,0.457,3.77,162,162,158,4,10,2,40,1476.2,1442,684,618,152,458,38,1209,54,3,47,6249,95,3.79,1.287,8.8,0.9,2.8,7.4,2.64,1135,3.82,162,6207,5559,619,1318,263,32,130,593,114,35,512,1384,0.237,0.306,0.366,0.672,91,2035,106,51,53,32,40,1137
NYY,24,31.8,4.14,85,77,0.525,3.94,162,162,155,7,10,3,49,1447.1,1452,671,633,171,437,34,1233,51,1,57,6128,102,3.89,1.305,9,1.1,2.7,7.7,2.82,1115,4.01,162,6045,5449,650,1321,247,24,144,614,115,31,466,1214,0.242,0.307,0.376,0.683,88,2048,121,57,36,36,33,1064
OAK,19,28.3,3.86,96,66,0.593,3.56,162,162,156,6,13,4,46,1452,1339,625,574,163,428,23,1183,35,1,56,6069,109,3.83,1.217,8.3,1,2.7,7.3,2.76,1088,4.73,162,6209,5521,767,1403,301,25,186,725,74,28,573,1178,0.254,0.327,0.419,0.745,107,2312,108,45,21,49,29,1126
PHI,27,28.7,4.62,73,89,0.451,4.32,162,162,156,6,3,2,32,1436.1,1465,749,689,152,506,33,1199,62,6,48,6213,87,3.94,1.372,9.2,1,3.2,7.5,2.37,1155,3.77,162,6014,5456,610,1355,255,32,140,578,73,29,417,1205,0.248,0.306,0.384,0.69,91,2094,131,53,57,31,41,1061
PIT,29,28.7,3.56,94,68,0.58,3.26,162,162,159,3,16,0,55,1470.2,1299,577,533,101,515,26,1261,70,6,81,6147,109,3.42,1.233,7.9,0.6,3.2,7.7,2.45,1158,3.91,162,6135,5486,634,1346,273,35,161,603,94,42,469,1330,0.245,0.313,0.396,0.709,100,2172,120,88,62,29,41,1126
