Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
SDP,23,28.8,4.32,76,86,0.469,3.98,162,162,159,3,6,1,40,1455,1407,700,643,156,525,31,1171,40,2,51,6179,86,4,1.328,8.7,1,3.2,7.2,2.23,1114,3.81,162,6122,5517,618,1349,246,26,146,578,118,34,467,1309,0.245,0.308,0.378,0.686,97,2085,99,52,52,34,36,1126
SEA,22,28,4.65,71,91,0.438,4.31,162,162,158,4,14,2,43,1465,1467,754,702,174,478,48,1297,42,1,74,6257,86,3.89,1.328,9,1.1,2.9,8,2.71,1108,3.85,162,6172,5558,624,1318,249,17,188,597,49,23,529,1353,0.237,0.306,0.39,0.695,98,2165,122,31,26,28,21,1131
SFG,21,29.6,4.27,76,86,0.469,4,162,162,160,2,13,2,41,1447.1,1380,691,643,145,521,64,1256,50,4,60,6163,87,3.8,1.313,8.6,0.9,3.2,7.8,2.41,1130,3.88,162,6168,5552,629,1446,280,35,107,596,67,26,469,1078,0.26,0.32,0.381,0.702,100,2117,131,39,66,42,40,1187
STL,25,26.9,3.68,97,65,0.599,3.42,162,162,155,7,15,4,44,1459.2,1366,596,555,112,451,26,1254,64,1,33,6104,110,3.39,1.245,8.4,0.7,2.8,7.7,2.78,1129,4.83,162,6202,5557,783,1494,322,20,125,745,45,22,481,1110,0.269,0.332,0.401,0.733,102,2231,154,64,56,44,38,1087
TBR,21,29,3.96,92,71,0.564,3.74,163,163,154,9,17,3,42,1464,1315,646,608,153,482,38,1310,52,6,69,6083,103,3.71,1.227,8.1,0.9,3,8.1,2.72,1045,4.29,163,6242,5538,700,1421,296,23,165,670,73,38,589,1171,0.257,0.329,0.408,0.737,106,2258,140,36,24,55,31,1172
TEX,25,27.9,3.9,91,72,0.558,3.62,163,163,159,4,10,2,46,1463.1,1370,636,589,157,498,35,1309,48,5,68,6146,114,3.77,1.277,8.4,1,3.1,8.1,2.63,1120,4.48,163,6196,5585,730,1465,262,23,176,691,149,46,462,1067,0.262,0.323,0.412,0.735,100,2301,124,61,45,42,26,1110
TOR,31,30.9,4.67,74,88,0.457,4.25,162,162,158,4,11,2,39,1452,1451,756,685,195,500,33,1208,65,7,54,6250,97,4.3,1.344,9,1.2,3.1,7.5,2.42,1138,4.4,162,6152,5537,712,1398,273,24,185,669,112,41,510,1123,0.252,0.318,0.411,0.729,99,2274,133,38,29,38,19,1065
WSN,21,27.7,3.86,86,76,0.531,3.59,162,162,156,6,13,4,47,1445.2,1367,626,576,142,405,17,1236,48,8,43,6038,106,3.56,1.226,8.5,0.9,2.5,7.7,3.05,1075,4.05,162,6047,5436,656,1365,259,27,161,621,88,28,464,1192,0.251,0.313,0.398,0.71,94,2161,115,40,68,39,35,1071
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,162,6162,5536,675,1403,274,26,155,642,90,34,488,1224,0.253,0.318,0.396,0.714,97,2195,124,51,46,41,34,1122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,4862,184873,166070,20255,42093,8222,772,4661,19271,2693,1007,14640,36710,0.253,0.318,0.396,0.714,97,65842,3732,1536,1383,1219,1018,33658
