Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,25,27.4,4.09,94,68,0.58,3.8,162,162,157,5,12,1,58,1443.1,1414,662,609,159,442,16,1058,53,7,39,6102,104,4.02,1.286,8.8,1,2.8,6.6,2.39,1110,4.51,162,6096,5421,731,1357,293,37,172,702,133,55,531,1249,0.25,0.322,0.413,0.736,99,2240,82,61,50,33,55,1064
ATL,21,28.4,3.73,89,73,0.549,3.48,162,162,159,3,16,2,52,1479.2,1332,605,572,125,521,73,1332,53,5,61,6220,110,3.49,1.252,8.1,0.8,3.2,8.1,2.56,1176,3.96,162,6169,5528,641,1345,244,16,173,606,77,44,504,1260,0.243,0.308,0.387,0.695,90,2140,113,28,75,30,45,1109
BAL,27,28.2,5.31,69,93,0.426,4.89,162,162,159,3,7,1,32,1446.2,1568,860,786,210,535,42,1044,45,4,32,6332,86,4.67,1.454,9.8,1.3,3.3,6.5,1.95,1132,4.37,162,6156,5585,708,1434,273,13,191,684,81,25,452,1120,0.257,0.316,0.413,0.729,97,2306,154,52,24,43,24,1069
BOS,27,30.3,4.55,90,72,0.556,4.2,162,162,160,2,13,1,36,1457.1,1366,737,680,156,540,11,1213,90,7,58,6242,103,4.05,1.308,8.4,1,3.3,7.5,2.25,1133,5.4,162,6414,5710,875,1600,352,35,203,842,102,42,578,1108,0.28,0.349,0.461,0.81,116,2631,136,50,22,50,52,1190
CHC,22,29.4,4.67,71,91,0.438,4.33,162,162,158,4,5,1,40,1434.1,1439,756,690,162,580,45,1224,53,5,51,6262,90,4.11,1.408,9,1,3.6,7.7,2.11,1203,4.04,162,6130,5549,654,1423,285,36,148,610,69,23,425,1202,0.256,0.314,0.401,0.715,95,2224,123,59,60,35,35,1141
CHW,22,28.5,4.36,79,83,0.488,4.1,162,162,156,6,14,4,42,1460,1463,706,665,147,439,50,1220,44,4,55,6188,106,3.66,1.303,9,0.9,2.7,7.5,2.78,1102,4.04,162,6159,5502,654,1387,252,16,154,625,81,53,475,989,0.252,0.319,0.388,0.706,89,2133,125,84,52,46,31,1126
CIN,21,27.7,4.44,79,83,0.488,4.16,162,162,158,4,5,2,39,1467.2,1414,720,678,185,539,47,1112,59,13,51,6259,95,4.37,1.331,8.7,1.1,3.3,6.8,2.06,1136,4.54,162,6329,5612,735,1438,264,19,183,697,97,50,535,1250,0.256,0.326,0.408,0.734,98,2289,98,63,78,40,52,1189
CLE,22,26.7,4.69,80,82,0.494,4.23,162,162,160,2,4,0,38,1453.1,1482,760,683,153,463,34,1024,60,3,42,6235,93,4.06,1.338,9.2,0.9,2.9,6.3,2.21,1115,4.35,162,6142,5509,704,1380,290,26,154,671,89,42,494,1269,0.25,0.317,0.396,0.714,100,2184,111,65,31,43,30,1075
COL,29,27.7,4.78,73,89,0.451,4.43,162,162,157,5,7,2,41,1447.2,1471,774,713,176,522,47,1118,48,7,65,6215,103,4.24,1.377,9.1,1.1,3.2,7,2.14,1098,4.54,162,6275,5544,735,1429,274,40,163,697,118,42,555,1201,0.258,0.329,0.41,0.739,88,2272,112,57,75,44,54,1172
DET,26,27.8,4.39,95,67,0.586,4.04,162,162,158,4,14,2,52,1440,1406,711,647,149,492,34,1115,52,5,69,6108,103,3.95,1.318,8.8,0.9,3.1,7,2.27,1077,4.86,162,6231,5563,787,1540,297,34,169,750,49,20,521,1143,0.277,0.34,0.434,0.773,109,2412,142,39,50,58,47,1165
FLA,22,28,4.33,72,90,0.444,3.95,162,162,155,7,11,4,40,1459.2,1403,702,640,149,500,72,1218,37,10,43,6200,99,3.79,1.304,8.7,0.9,3.1,7.5,2.44,1119,3.86,162,6232,5508,625,1358,274,30,149,596,95,41,542,1244,0.247,0.318,0.388,0.706,93,2139,111,51,89,42,38,1198
HOU,23,27.2,4.91,56,106,0.346,4.51,162,162,160,2,6,0,25,1435,1477,796,719,188,560,59,1191,53,9,39,6268,84,4.35,1.42,9.3,1.2,3.5,7.5,2.13,1167,3.8,162,6150,5598,615,1442,309,28,95,579,118,33,401,1164,0.258,0.311,0.374,0.684,89,2092,111,46,66,37,34,1154
KCR,23,26.4,4.7,71,91,0.438,4.44,162,162,160,2,6,0,37,1451.1,1487,762,716,163,557,42,1080,58,7,69,6280,92,4.27,1.408,9.2,1,3.5,6.7,1.94,1164,4.51,162,6267,5672,730,1560,325,41,129,705,153,58,442,1006,0.275,0.329,0.415,0.744,104,2354,121,39,55,57,37,1156
LAA,21,28.4,3.91,86,76,0.531,3.57,162,162,150,12,11,6,39,1465,1388,633,581,142,476,34,1058,36,4,55,6124,106,3.89,1.272,8.5,0.9,2.9,6.5,2.22,1096,4.12,162,6088,5513,667,1394,289,34,155,629,135,52,442,1086,0.253,0.313,0.402,0.714,102,2216,126,51,50,32,33,1051
LAD,21,28.6,3.8,82,79,0.509,3.54,161,161,154,7,17,2,40,1432,1287,612,563,132,507,48,1265,43,7,50,5997,104,3.61,1.253,8.1,0.8,3.2,8,2.5,1089,4,161,6094,5436,644,1395,237,28,117,613,126,40,498,1087,0.257,0.322,0.375,0.697,95,2039,101,45,71,43,61,1165
MIL,22,29.3,3.94,96,66,0.593,3.63,162,162,161,1,13,1,47,1441.2,1348,638,582,147,440,16,1257,33,5,70,6048,109,3.59,1.24,8.4,0.9,2.7,7.8,2.86,1085,4.45,162,6113,5447,721,1422,276,31,185,693,94,31,481,1083,0.261,0.325,0.425,0.75,102,2315,114,56,85,44,53,1110
