Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
MIN,24,28.5,4.96,63,99,0.389,4.58,162,162,155,7,8,3,32,1421.2,1564,804,724,161,480,37,940,54,5,47,6210,89,4.3,1.438,9.9,1,3,6,1.96,1141,3.82,162,6020,5487,619,1357,259,25,103,572,92,39,440,1048,0.247,0.306,0.36,0.666,84,1975,115,37,31,25,24,1080
NYM,23,30,4.58,77,85,0.475,4.19,162,162,156,6,9,2,43,1448,1482,742,674,147,514,48,1126,70,7,46,6316,88,4,1.378,9.2,0.9,3.2,7,2.19,1230,4.43,162,6335,5600,718,1477,309,39,108,676,130,35,571,1085,0.264,0.335,0.391,0.725,103,2188,112,51,65,48,56,1257
NYY,28,31,4.06,97,65,0.599,3.73,162,162,157,5,8,3,47,1458.1,1423,657,605,152,507,43,1222,58,3,67,6216,116,3.87,1.323,8.8,0.9,3.1,7.5,2.41,1184,5.35,162,6306,5518,867,1452,267,33,222,836,147,46,627,1138,0.263,0.343,0.444,0.788,110,2451,146,74,36,51,34,1114
OAK,26,27.4,4.19,74,88,0.457,3.71,162,162,156,6,12,1,39,1447.2,1380,679,597,136,519,24,1160,41,3,53,6159,109,3.8,1.312,8.6,0.8,3.2,7.2,2.24,1137,3.98,162,6104,5452,645,1330,280,29,114,612,117,43,509,1094,0.244,0.311,0.369,0.68,88,2010,119,50,34,57,20,1106
PHI,23,29.2,3.27,102,60,0.63,3.02,162,162,144,18,21,7,47,1477,1320,529,495,120,404,41,1299,47,6,23,6069,127,3.24,1.167,8,0.7,2.5,7.9,3.22,1109,4.4,162,6279,5579,713,1409,258,38,153,693,96,24,539,1024,0.253,0.323,0.395,0.717,96,2202,108,56,65,38,52,1197
PIT,25,28.1,4.4,72,90,0.444,4.04,162,162,157,5,11,3,43,1449.1,1513,712,650,152,535,65,1031,62,6,60,6317,92,4.2,1.413,9.4,0.9,3.3,6.4,1.93,1257,3.77,162,6064,5421,610,1325,277,35,107,580,108,52,489,1308,0.244,0.309,0.368,0.676,90,1993,123,34,75,44,31,1079
SDP,22,28.1,3.77,71,91,0.438,3.42,162,162,162,0,10,0,44,1449.1,1324,611,551,125,521,56,1139,37,6,45,6065,104,3.73,1.273,8.2,0.8,3.2,7.1,2.19,1106,3.66,162,6074,5417,593,1284,247,42,91,563,170,44,501,1320,0.237,0.305,0.349,0.653,85,1888,105,48,55,47,42,1103
SEA,21,26.8,4.17,67,95,0.414,3.9,162,162,150,12,10,3,39,1433,1369,675,621,145,436,27,1088,51,6,68,6014,97,3.84,1.26,8.6,0.9,2.7,6.8,2.5,1040,3.43,162,5972,5421,556,1263,253,22,109,534,125,40,435,1280,0.233,0.292,0.348,0.64,84,1887,82,37,38,41,33,1083
SFG,17,28.5,3.57,86,76,0.531,3.2,162,162,159,3,12,2,52,1468,1260,578,522,96,559,46,1316,50,4,42,6130,109,3.33,1.239,7.7,0.6,3.4,8.1,2.35,1148,3.52,162,6091,5486,570,1327,282,24,121,534,85,51,448,1122,0.242,0.303,0.368,0.671,91,2020,117,52,62,43,47,1127
STL,24,30.2,4.27,90,72,0.556,3.74,162,162,155,7,9,5,47,1462,1461,692,608,136,448,44,1098,46,3,48,6211,99,3.75,1.306,9,0.8,2.8,6.8,2.45,1133,4.7,162,6242,5532,762,1513,308,22,162,726,57,39,542,978,0.273,0.341,0.425,0.766,112,2351,169,44,84,40,64,1127
TBR,21,27.8,3.79,91,71,0.562,3.58,162,162,147,15,13,5,32,1449,1263,614,577,161,504,38,1143,46,3,45,6010,105,4.03,1.219,7.8,1,3.1,7.1,2.27,1049,4.36,162,6152,5436,707,1324,273,37,172,674,155,62,571,1193,0.244,0.322,0.402,0.724,104,2187,101,73,37,35,31,1118
TEX,25,28.8,4.18,96,66,0.593,3.79,162,162,152,10,19,7,38,1441.1,1327,677,607,170,461,21,1179,46,6,43,6021,117,3.98,1.241,8.3,1.1,2.9,7.4,2.56,1020,5.28,162,6261,5659,855,1599,310,32,210,807,143,45,475,930,0.283,0.34,0.46,0.8,110,2603,135,39,39,49,35,1126
TOR,30,27.6,4.7,81,81,0.5,4.32,162,162,155,7,10,3,33,1458.2,1433,761,700,179,540,28,1169,77,3,73,6286,99,4.29,1.353,8.8,1.1,3.3,7.2,2.16,1149,4.59,162,6210,5559,743,1384,285,34,186,704,131,52,525,1184,0.249,0.317,0.413,0.73,96,2295,108,48,31,47,41,1090
WSN,24,27.6,3.99,80,81,0.497,3.58,161,161,158,3,10,2,49,1449.1,1403,643,577,129,477,43,1049,52,6,49,6141,107,3.83,1.297,8.7,0.8,3,6.5,2.2,1150,3.88,161,6090,5441,624,1319,257,22,154,594,106,38,470,1323,0.242,0.309,0.383,0.691,89,2082,103,65,82,32,40,1114
LgAvg,22,28.3,4.28,81,81,0.5,3.94,162,162,156,6,,,41,1451,1409,694,634,152,501,41,1150,52,6,52,6175,101,3.94,1.316,8.7,0.9,3.1,7.1,2.3,1129,4.28,162,6175,5524,694,1409,280,30,152,660,109,42,501,1150,0.255,0.321,0.399,0.72,97,2204,117,52,56,42,41,1129
,662,28.3,4.28,2429,2429,0.5,3.94,4858,4858,4685,173,,,1243,43527.1,42267,20808,19032,4552,15018,1231,34488,1554,169,1558,185245,101,3.94,1.316,8.7,0.9,3.1,7.1,2.3,33855,4.28,4858,185245,165705,20808,42267,8399,898,4552,19804,3279,1261,15018,34488,0.255,0.321,0.399,0.72,97,66118,3523,1554,1667,1274,1231,33855
