,Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G.1,PA,AB,R.1,H.1,2B,3B,HR.1,RBI,SB,CS,BB.1,SO.1,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP.1,SH,SF,IBB.1,LOB.1,post
15,MIL,23,29.0,4.52,83,79,0.512,4.22,162,162,162,0,9.0,0.0,44,1453.2,1458,733,682,169,525,20,1402,31,5,57,6245,98,3.82,1.364,9.0,1.0,3.3,8.7,2.67,1151,4.79,162,6225,5557,776,1442,300,39,202,741,158,39,466,1240,0.259,0.325,0.43700000000000006,0.762,101,2426,111,90,76,35,35,1104,0
16,MIN,25,27.8,5.14,66,96,0.40700000000000003,4.77,162,162,159,3,6.0,1.0,35,1438.2,1536,832,762,198,465,43,943,57,2,60,6214,86,4.66,1.391,9.6,1.2,2.9,5.9,2.03,1066,4.33,162,6209,5562,701,1448,270,30,131,666,135,37,505,1069,0.26,0.325,0.39,0.715,98,2171,149,53,33,56,28,1144,0
17,NYM,28,30.3,4.38,74,88,0.457,4.09,162,162,155,7,13.0,5.0,36,1434.0,1368,709,651,161,488,29,1240,40,3,40,6086,93,3.93,1.294,8.6,1.0,3.1,7.8,2.54,1075,4.01,162,6091,5450,650,1357,286,21,139,625,79,38,503,1250,0.249,0.316,0.386,0.701,94,2102,118,42,64,30,43,1118,0
18,NYY,24,30.3,4.12,95,67,0.586,3.84,162,162,156,6,9.0,2.0,51,1445.1,1401,668,617,190,431,32,1318,49,9,53,6085,110,3.98,1.268,8.7,1.2,2.7,8.2,3.06,1081,4.96,162,6231,5524,804,1462,280,13,245,774,93,27,565,1176,0.265,0.337,0.45299999999999996,0.79,112,2503,136,62,31,49,31,1135,1
19,OAK,25,27.9,3.79,94,68,0.58,3.48,162,162,161,1,13.0,0.0,47,1470.0,1360,614,569,147,462,34,1136,46,5,40,6131,112,3.89,1.239,8.3,0.9,2.8,7.0,2.46,1107,4.4,162,6183,5527,713,1315,267,32,195,676,122,32,550,1387,0.23800000000000002,0.31,0.40399999999999997,0.7140000000000001,99,2231,97,45,27,34,29,1095,1
20,PHI,24,29.1,4.2,81,81,0.5,3.83,162,162,157,5,11.0,4.0,42,1451.1,1387,680,618,178,409,33,1385,44,3,30,6072,105,3.72,1.237,8.6,1.1,2.5,8.6,3.39,1038,4.22,162,6172,5544,684,1414,271,28,158,659,116,23,454,1094,0.255,0.317,0.4,0.716,92,2215,114,63,72,39,41,1135,0
21,PIT,25,30.2,4.16,79,83,0.488,3.86,162,162,160,2,10.0,1.0,45,1433.1,1357,674,615,153,490,30,1192,45,3,45,6097,97,3.93,1.2890000000000001,8.5,1.0,3.1,7.5,2.43,1123,4.02,162,6014,5412,651,1313,241,37,170,620,73,52,444,1354,0.243,0.304,0.395,0.6990000000000001,93,2138,98,51,62,45,32,1049,0
22,SDP,30,28.0,4.38,76,86,0.469,4.01,162,162,158,4,11.0,3.0,43,1434.2,1356,710,640,162,539,48,1205,48,8,49,6151,90,4.11,1.321,8.5,1.0,3.4,7.6,2.24,1137,4.02,162,6112,5422,651,1339,272,43,121,610,155,46,539,1238,0.247,0.319,0.38,0.6990000000000001,97,2060,100,54,63,34,36,1146,0
23,SEA,18,27.9,4.02,75,87,0.46299999999999997,3.76,162,162,154,8,11.0,6.0,43,1456.2,1359,651,608,166,449,39,1166,49,5,61,6062,102,4.0,1.2409999999999999,8.4,1.0,2.8,7.2,2.6,1039,3.82,162,6057,5494,619,1285,241,27,149,584,104,35,466,1259,0.23399999999999999,0.29600000000000004,0.369,0.665,88,2027,95,30,32,35,21,1052,0
24,SFG,23,30.0,4.01,94,68,0.58,3.68,162,162,157,5,14.0,4.0,53,1451.0,1361,649,593,142,489,42,1237,51,4,54,6138,96,3.78,1.275,8.4,0.9,3.0,7.7,2.53,1136,4.43,162,6200,5558,718,1495,287,57,103,675,118,39,483,1097,0.26899999999999996,0.327,0.397,0.7240000000000001,106,2205,114,29,69,61,44,1171,1
25,STL,24,28.6,4.0,88,74,0.5429999999999999,3.71,162,162,158,4,10.0,2.0,42,1462.2,1420,648,603,134,436,28,1218,50,4,46,6158,103,3.62,1.2690000000000001,8.7,0.8,2.7,7.5,2.79,1122,4.72,162,6326,5622,765,1526,290,37,159,732,91,37,533,1192,0.271,0.33799999999999997,0.42100000000000004,0.759,107,2367,135,53,69,49,45,1198,1
26,TBR,18,28.1,3.56,90,72,0.556,3.19,162,162,155,7,15.0,4.0,50,1459.2,1233,577,518,139,469,35,1383,54,4,59,6000,121,3.51,1.166,7.6,0.9,2.9,8.5,2.95,1044,4.3,162,6105,5398,697,1293,250,30,175,665,134,44,571,1323,0.24,0.317,0.39399999999999996,0.711,99,2128,133,58,34,42,26,1058,0
27,TEX,21,28.8,4.36,93,69,0.574,3.99,162,162,155,7,10.0,2.0,43,1442.0,1378,707,639,175,446,15,1286,41,8,53,6067,109,3.9,1.265,8.6,1.1,2.8,8.0,2.88,1034,4.99,162,6216,5590,808,1526,303,32,200,780,91,44,478,1103,0.273,0.33399999999999996,0.446,0.78,105,2493,121,57,36,53,44,1113,1
28,TOR,34,27.8,4.84,73,89,0.451,4.64,162,162,157,5,11.0,4.0,29,1443.2,1439,784,745,204,574,20,1142,55,7,56,6216,91,4.66,1.3940000000000001,9.0,1.3,3.6,7.1,1.99,1101,4.42,162,6094,5487,716,1346,247,22,198,677,123,41,473,1251,0.245,0.309,0.40700000000000003,0.716,94,2231,109,55,33,45,29,1026,0
29,WSN,19,27.0,3.67,98,64,0.605,3.33,162,162,159,3,9.0,1.0,51,1468.1,1296,594,543,129,497,32,1325,47,4,62,6133,120,3.54,1.2209999999999999,7.9,0.8,3.0,8.1,2.67,1134,4.51,162,6221,5615,731,1468,301,25,194,688,105,35,479,1325,0.261,0.322,0.428,0.75,101,2401,110,41,50,36,43,1127,1
