,Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G.1,PA,AB,R.1,H.1,2B,3B,HR.1,RBI,SB,CS,BB.1,SO.1,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP.1,SH,SF,IBB.1,LOB.1,post
0,ARI,23,27.4,4.25,81,81,0.5,3.93,162,162,158,4,9.0,2.0,39,1433.2,1432,688,626,155,417,18,1200,51,10,52,6063,104,3.81,1.29,9.0,1.0,2.6,7.5,2.88,1074,4.53,162,6150,5462,734,1416,307,33,165,710,93,51,539,1266,0.259,0.32799999999999996,0.418,0.746,99,2284,108,41,61,45,47,1122,0
1,ATL,21,27.6,3.7,94,68,0.58,3.42,162,162,157,5,16.0,4.0,47,1445.1,1310,600,549,145,464,40,1232,41,3,54,5991,117,3.74,1.227,8.2,0.9,2.9,7.7,2.66,1055,4.32,162,6126,5425,700,1341,263,30,149,660,101,32,567,1289,0.247,0.32,0.389,0.7090000000000001,90,2111,108,34,53,46,37,1127,1
2,BAL,26,27.6,4.35,93,69,0.574,3.9,162,162,161,1,10.0,1.0,55,1483.0,1433,705,642,184,481,36,1177,53,6,34,6278,109,4.2,1.291,8.7,1.1,2.9,7.1,2.45,1124,4.4,162,6160,5560,712,1375,270,16,214,677,58,29,480,1315,0.247,0.311,0.41700000000000004,0.728,97,2319,152,50,38,30,24,1027,1
3,BOS,26,28.7,4.98,69,93,0.426,4.7,162,162,156,6,4.0,2.0,35,1443.0,1449,806,754,190,529,33,1176,66,11,42,6209,90,4.41,1.371,9.0,1.2,3.3,7.3,2.22,1074,4.53,162,6166,5604,734,1459,339,16,165,695,97,31,428,1197,0.26,0.315,0.415,0.73,96,2325,105,45,34,55,27,1076,0
4,CHC,30,27.9,4.69,61,101,0.377,4.51,162,162,161,1,9.0,0.0,28,1413.2,1399,759,708,175,573,36,1128,65,5,44,6140,91,4.46,1.395,8.9,1.1,3.6,7.2,1.97,1140,3.78,162,5967,5411,613,1297,265,36,137,570,94,45,447,1235,0.24,0.302,0.37799999999999995,0.68,83,2045,125,43,42,24,29,1044,0
5,CHW,25,27.5,4.17,85,77,0.525,4.02,162,162,156,6,11.0,2.0,37,1445.2,1365,676,646,186,503,29,1246,68,9,66,6098,106,4.23,1.2919999999999998,8.5,1.2,3.1,7.8,2.48,1085,4.62,162,6111,5518,748,1409,228,29,211,726,109,43,461,1203,0.255,0.318,0.42200000000000004,0.74,98,2328,112,65,31,36,24,1038,0
6,CIN,17,27.1,3.63,97,65,0.599,3.34,162,162,153,9,12.0,2.0,56,1453.0,1356,588,540,152,427,33,1248,51,7,34,6056,123,3.72,1.227,8.4,0.9,2.6,7.7,2.92,1109,4.13,162,6115,5477,669,1377,296,30,172,636,87,27,481,1266,0.251,0.315,0.41100000000000003,0.726,93,2249,100,47,73,37,54,1135,1
7,CLE,24,27.6,5.22,68,94,0.42,4.78,162,162,160,2,6.0,1.0,43,1442.0,1503,845,766,174,543,27,1086,55,6,67,6283,82,4.4,1.419,9.4,1.1,3.4,6.8,2.0,1112,4.12,162,6195,5525,667,1385,266,24,136,635,110,44,555,1087,0.251,0.324,0.381,0.705,99,2107,141,59,17,39,28,1162,0
8,COL,27,28.2,5.49,64,98,0.395,5.22,162,162,162,0,7.0,0.0,36,1422.0,1637,890,824,198,566,61,1144,47,6,94,6384,89,4.59,1.5490000000000002,10.4,1.3,3.6,7.2,2.02,1228,4.68,162,6183,5577,758,1526,306,52,166,716,100,40,450,1213,0.27399999999999997,0.33,0.436,0.7659999999999999,93,2434,132,36,74,39,34,1111,0
9,DET,23,28.2,4.14,88,74,0.5429999999999999,3.75,162,162,153,9,8.0,3.0,40,1430.2,1409,670,596,151,438,35,1318,42,6,46,6045,113,3.63,1.291,8.9,0.9,2.8,8.3,3.01,1083,4.48,162,6119,5476,726,1467,279,39,163,698,59,23,511,1103,0.268,0.335,0.42200000000000004,0.757,103,2313,156,57,36,39,46,1121,1
10,HOU,26,27.2,4.9,55,107,0.34,4.56,162,162,159,3,11.0,2.0,31,1423.1,1493,794,721,173,540,40,1170,48,6,75,6238,89,4.27,1.4280000000000002,9.4,1.1,3.4,7.4,2.17,1174,3.6,162,6014,5407,583,1276,238,28,146,545,105,46,463,1365,0.23600000000000002,0.302,0.371,0.6729999999999999,82,2008,114,58,54,30,19,1090,0
11,KCR,25,27.3,4.6,72,90,0.444,4.3,162,162,160,2,12.0,1.0,44,1451.1,1504,746,693,163,542,44,1177,60,8,49,6251,98,4.18,1.41,9.3,1.0,3.4,7.3,2.17,1151,4.17,162,6149,5636,676,1492,295,37,131,643,132,38,404,1032,0.265,0.317,0.4,0.716,94,2254,130,42,26,41,35,1087,0
12,LAA,23,30.1,4.31,89,73,0.5489999999999999,4.02,162,162,156,6,16.0,5.0,38,1433.1,1339,699,640,186,483,20,1157,40,2,38,6034,95,4.26,1.271,8.4,1.2,3.0,7.3,2.4,1035,4.73,162,6121,5536,767,1518,273,22,187,732,134,33,449,1113,0.27399999999999997,0.332,0.433,0.764,114,2396,138,47,47,41,29,1079,0
13,LAD,25,29.0,3.69,86,76,0.531,3.34,162,162,160,2,10.0,2.0,40,1449.2,1277,597,538,122,539,62,1276,45,2,46,6068,114,3.64,1.253,7.9,0.8,3.3,7.9,2.37,1122,3.93,162,6091,5438,637,1369,269,23,116,607,104,44,481,1156,0.252,0.317,0.374,0.69,91,2032,139,52,82,38,49,1112,0
14,MIA,21,28.8,4.47,69,93,0.426,4.09,162,162,157,5,7.0,3.0,38,1440.2,1448,724,655,133,495,61,1113,55,4,36,6186,100,3.9,1.349,9.0,0.8,3.1,7.0,2.25,1140,3.76,162,6057,5437,609,1327,261,39,137,576,149,41,484,1228,0.244,0.308,0.382,0.69,85,2077,114,35,60,40,46,1092,0
