,Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G.1,PA,AB,R.1,H.1,2B,3B,HR.1,RBI,SB,CS,BB.1,SO.1,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP.1,SH,SF,IBB.1,LOB.1,post
0,ARI,27,27.1,4.4,79,83,0.488,4.04,162,162,161,1,12.0,1.0,44,1466.2,1450,713,659,182,500,45,1215,48,3,51,6257,102,4.21,1.33,8.9,1.1,3.1,7.5,2.43,1144,4.44,162,6276,5649,720,1494,289,48,154,680,132,44,490,1312,0.264,0.324,0.414,0.738,97,2341,134,33,46,57,40,1153,0
1,ATL,37,26.6,4.69,67,95,0.414,4.41,162,162,159,3,10.0,2.0,44,1425.1,1462,760,698,170,550,45,1148,53,9,53,6156,88,4.34,1.412,9.2,1.1,3.5,7.2,2.09,1120,3.54,162,6034,5420,573,1361,251,18,100,548,69,33,471,1107,0.251,0.314,0.359,0.674,87,1948,148,44,67,31,39,1145,0
2,BAL,22,28.3,4.28,81,81,0.5,4.05,162,162,162,0,10.0,0.0,43,1434.2,1406,693,646,174,483,27,1233,54,0,46,6085,102,4.11,1.317,8.8,1.1,3.0,7.7,2.55,1088,4.4,162,6007,5485,713,1370,246,20,217,686,44,25,418,1331,0.25,0.307,0.42100000000000004,0.728,97,2307,127,51,20,32,23,990,0
3,BOS,26,28.6,4.65,78,84,0.48100000000000004,4.31,162,162,159,3,10.0,1.0,40,1448.1,1486,753,694,178,478,17,1218,62,10,79,6225,100,4.17,1.3559999999999999,9.2,1.1,3.0,7.6,2.55,1127,4.62,162,6237,5640,748,1495,294,33,161,706,71,27,478,1148,0.265,0.325,0.415,0.74,97,2338,127,46,30,42,28,1142,0
4,CHC,29,29.3,3.75,97,65,0.599,3.36,162,162,156,6,21.0,4.0,48,1461.1,1276,608,546,134,407,38,1431,46,3,66,5997,114,3.3,1.1520000000000001,7.9,0.8,2.5,8.8,3.52,1005,4.25,162,6200,5491,689,1341,272,30,171,657,95,37,567,1518,0.244,0.321,0.39799999999999996,0.7190000000000001,98,2186,101,74,32,35,47,1165,1
5,CHW,24,27.8,4.33,76,86,0.469,3.98,162,162,155,7,9.0,4.0,37,1452.2,1443,701,643,162,474,34,1359,62,2,61,6181,98,3.82,1.32,8.9,1.0,2.9,8.4,2.87,1122,3.84,162,6070,5533,622,1381,260,27,136,595,68,42,404,1231,0.25,0.306,0.38,0.6859999999999999,92,2103,125,65,30,37,22,1065,0
6,CIN,28,27.3,4.65,64,98,0.395,4.33,162,162,160,2,8.0,1.0,35,1453.1,1436,754,700,177,544,42,1252,58,11,54,6271,92,4.24,1.3619999999999999,8.9,1.1,3.4,7.8,2.3,1157,3.95,162,6196,5571,640,1382,257,27,167,613,134,38,496,1255,0.248,0.312,0.39399999999999996,0.706,92,2194,112,42,47,40,38,1148,0
7,CLE,27,27.3,3.98,81,80,0.503,3.67,161,161,150,11,10.0,1.0,38,1432.2,1274,640,584,161,425,27,1407,48,5,48,5904,117,3.62,1.186,8.0,1.0,2.7,8.8,3.31,966,4.16,161,6109,5439,669,1395,303,29,141,640,86,28,533,1157,0.256,0.325,0.401,0.725,93,2179,134,39,47,50,34,1147,0
8,COL,30,28.7,5.21,68,94,0.42,5.04,162,162,158,4,4.0,1.0,36,1426.1,1579,844,799,183,579,42,1112,48,6,66,6308,92,4.56,1.5130000000000001,10.0,1.2,3.7,7.0,1.92,1185,4.55,162,6071,5572,737,1479,274,49,186,702,97,43,388,1283,0.265,0.315,0.43200000000000005,0.748,89,2409,114,33,44,34,47,1016,0
9,DET,27,28.7,4.99,74,87,0.46,4.64,161,161,154,7,12.0,4.0,35,1447.0,1491,803,746,193,489,32,1100,46,8,60,6188,86,4.46,1.368,9.3,1.2,3.0,6.8,2.25,1044,4.28,161,6159,5605,689,1515,289,49,151,660,83,51,455,1259,0.27,0.32799999999999996,0.42,0.748,105,2355,152,41,23,35,36,1111,0
