,Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G.1,PA,AB,R.1,H.1,2B,3B,HR.1,RBI,SB,CS,BB.1,SO.1,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP.1,SH,SF,IBB.1,LOB.1,post
10,HOU,24,29.4,3.81,86,76,0.531,3.57,162,162,157,5,13.0,3.0,39,1441.0,1308,618,572,148,423,17,1280,43,2,61,5965,110,3.66,1.2009999999999998,8.2,0.9,2.6,8.0,3.03,1024,4.5,162,6073,5459,729,1363,278,26,230,691,121,48,486,1392,0.25,0.315,0.43700000000000006,0.752,107,2383,102,56,28,43,22,1036,1
11,KCR,24,30.0,3.96,95,67,0.586,3.73,162,162,160,2,8.0,1.0,56,1452.0,1372,641,601,155,489,10,1160,52,2,62,6112,112,4.04,1.2819999999999998,8.5,1.0,3.0,7.2,2.37,1115,4.47,162,6116,5575,724,1497,300,42,139,689,104,34,383,973,0.26899999999999996,0.322,0.41200000000000003,0.7340000000000001,98,2298,133,77,34,47,28,1079,1
12,LAA,25,28.3,4.17,85,77,0.525,3.94,162,162,160,2,12.0,2.0,46,1440.2,1355,675,630,166,466,45,1221,71,4,61,6096,96,4.06,1.264,8.5,1.0,2.9,7.6,2.62,1099,4.08,162,5990,5417,661,1331,243,21,176,621,52,34,435,1150,0.24600000000000002,0.307,0.396,0.7020000000000001,97,2144,116,58,37,40,34,1013,0
13,LAD,31,28.1,3.67,92,70,0.568,3.44,162,162,156,6,21.0,3.0,47,1445.2,1317,595,553,145,395,32,1396,38,10,52,5932,107,3.41,1.1840000000000002,8.2,0.9,2.5,8.7,3.53,1000,4.12,162,6090,5385,667,1346,263,26,187,638,59,34,563,1258,0.25,0.326,0.413,0.7390000000000001,106,2222,135,60,49,30,31,1121,1
14,MIA,29,27.3,4.19,71,91,0.43799999999999994,4.02,162,162,162,0,12.0,0.0,35,1427.0,1374,678,638,141,508,25,1152,52,3,53,6050,95,3.98,1.319,8.7,0.9,3.2,7.3,2.27,1091,3.78,162,5988,5463,613,1420,236,40,120,575,112,45,375,1150,0.26,0.31,0.384,0.6940000000000001,93,2096,133,39,71,40,30,1059,0
15,MIL,26,28.4,4.55,68,94,0.42,4.28,162,162,161,1,7.0,0.0,40,1435.0,1432,737,682,176,517,36,1260,55,5,71,6148,93,4.17,1.358,9.0,1.1,3.2,7.9,2.44,1106,4.04,162,6024,5480,655,1378,274,34,145,624,84,29,412,1299,0.251,0.307,0.39299999999999996,0.7,91,2155,130,41,55,34,35,1026,0
16,MIN,24,29.1,4.32,83,79,0.512,4.07,162,162,160,2,12.0,0.0,45,1443.0,1506,700,653,163,413,34,1046,41,2,54,6139,100,4.1,1.33,9.4,1.0,2.6,6.5,2.53,1110,4.3,162,6017,5467,696,1349,277,44,156,661,70,38,439,1264,0.247,0.305,0.39899999999999997,0.7040000000000001,92,2182,133,40,30,41,31,993,0
17,NYM,26,28.2,3.78,90,72,0.556,3.43,162,162,161,1,14.0,1.0,50,1462.2,1341,613,557,152,383,43,1337,44,2,46,6046,111,3.53,1.179,8.3,0.9,2.4,8.2,3.49,1045,4.22,162,6145,5527,683,1351,295,17,177,654,51,25,488,1290,0.244,0.312,0.4,0.7120000000000001,96,2211,130,68,29,32,42,1098,1
18,NYY,33,27.4,4.31,87,75,0.537,4.03,162,162,159,3,4.0,0.0,48,1457.2,1416,698,652,182,474,16,1370,56,4,78,6191,101,3.97,1.297,8.7,1.1,2.9,8.5,2.89,1120,4.72,162,6268,5567,764,1397,272,19,212,737,63,25,554,1227,0.251,0.32299999999999995,0.42100000000000004,0.7440000000000001,102,2343,105,63,24,54,23,1151,1
19,OAK,30,27.8,4.5,68,94,0.42,4.14,162,162,157,5,15.0,3.0,28,1444.2,1402,729,664,172,474,19,1179,47,4,62,6128,94,4.13,1.2990000000000002,8.7,1.1,3.0,7.3,2.49,1065,4.28,162,6171,5600,694,1405,277,46,146,661,78,29,475,1119,0.251,0.312,0.395,0.7070000000000001,96,2212,124,40,14,38,21,1102,0
20,PHI,30,28.5,4.99,63,99,0.389,4.69,162,162,161,1,7.0,1.0,35,1436.1,1592,809,749,191,488,37,1153,61,7,60,6332,82,4.4,1.4480000000000002,10.0,1.2,3.1,7.2,2.36,1214,3.86,162,6053,5529,626,1374,272,37,130,586,88,32,387,1274,0.249,0.303,0.382,0.684,89,2110,119,54,53,29,20,1066,0
21,PIT,21,29.6,3.68,98,64,0.605,3.21,162,162,162,0,13.0,0.0,54,1489.2,1392,596,532,110,453,38,1338,75,4,67,6215,121,3.36,1.239,8.4,0.7,2.7,8.1,2.95,1150,4.3,162,6285,5631,697,1462,292,27,140,661,98,45,461,1322,0.26,0.32299999999999995,0.396,0.7190000000000001,97,2228,115,89,63,41,46,1166,1
22,SDP,26,29.1,4.51,74,88,0.457,4.09,162,162,161,1,6.0,0.0,41,1440.1,1371,731,655,171,516,35,1393,54,3,54,6093,91,3.93,1.31,8.6,1.1,3.2,8.7,2.7,1041,4.01,162,6019,5457,650,1324,260,36,148,623,82,29,426,1327,0.243,0.3,0.385,0.685,91,2100,108,40,52,42,22,1028,0
23,SEA,28,28.6,4.48,76,86,0.469,4.16,162,162,156,6,12.0,5.0,45,1463.0,1430,726,677,181,491,41,1283,70,5,72,6223,92,4.14,1.3130000000000002,8.8,1.1,3.0,7.9,2.61,1108,4.05,162,6131,5544,656,1379,262,22,198,624,69,45,478,1336,0.249,0.311,0.41100000000000003,0.722,101,2279,123,36,38,35,31,1080,0
24,SFG,21,31.5,3.87,84,78,0.519,3.72,162,162,155,7,18.0,4.0,41,1444.1,1344,627,597,155,431,28,1165,50,4,40,6009,103,3.91,1.229,8.4,1.0,2.7,7.3,2.7,1049,4.3,162,6153,5565,696,1486,288,39,136,663,93,36,457,1159,0.267,0.326,0.406,0.732,101,2260,142,49,45,37,30,1130,0
25,STL,23,28.2,3.24,100,62,0.617,2.94,162,162,161,1,15.0,0.0,62,1464.2,1359,525,478,123,477,37,1329,45,5,48,6134,134,3.47,1.254,8.4,0.8,2.9,8.2,2.79,1215,3.99,162,6139,5484,647,1386,288,39,137,619,69,38,506,1267,0.253,0.321,0.39399999999999996,0.716,95,2163,128,66,39,42,47,1152,1
26,TBR,27,26.7,3.96,80,82,0.494,3.74,162,162,161,1,12.0,1.0,60,1453.1,1314,642,604,175,477,23,1355,46,5,81,6069,105,3.91,1.232,8.1,1.1,3.0,8.4,2.84,1067,3.98,162,6071,5485,644,1383,278,32,167,612,87,45,436,1310,0.252,0.314,0.406,0.72,100,2226,121,84,19,47,22,1075,0
27,TEX,31,28.1,4.52,88,74,0.5429999999999999,4.24,162,162,157,5,9.0,3.0,45,1442.2,1459,733,680,171,508,29,1095,63,5,51,6215,100,4.34,1.3630000000000002,9.1,1.1,3.2,6.8,2.16,1154,4.64,162,6187,5511,751,1419,279,32,172,707,101,39,503,1233,0.257,0.325,0.413,0.7390000000000001,98,2278,99,76,43,54,32,1130,1
28,TOR,28,29.2,4.14,93,69,0.574,3.8,162,162,155,7,10.0,2.0,34,1441.0,1353,670,609,173,397,20,1117,59,4,62,5984,108,4.09,1.214,8.5,1.1,2.5,7.0,2.81,991,5.5,162,6232,5509,891,1480,308,17,232,852,88,23,570,1151,0.26899999999999996,0.34,0.457,0.797,115,2518,140,54,36,62,12,1057,1
29,WSN,26,28.6,3.92,83,79,0.512,3.62,162,162,158,4,13.0,3.0,41,1434.2,1366,635,577,145,364,37,1342,55,4,39,5975,110,3.45,1.206,8.6,0.9,2.3,8.4,3.69,1036,4.34,162,6117,5428,703,1363,265,13,177,665,57,23,539,1344,0.251,0.321,0.40299999999999997,0.7240000000000001,96,2185,129,44,55,51,38,1114,0
