,Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G.1,PA,AB,R.1,H.1,2B,3B,HR.1,RBI,SB,CS,BB.1,SO.1,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP.1,SH,SF,IBB.1,LOB.1,post
0,ARI,23.0,27.6,4.29,81.0,81.0,0.5,3.92,162.0,162.0,156.0,6.0,7.0,2.0,38.0,1495.0,1460.0,695.0,651.0,176.0,485.0,42.0,1218.0,60.0,3.0,84.0,6338.0,99.0,4.04,1.301,8.8,1.1,2.9,7.3,2.51,1158.0,4.23,162,6334,5676,685,1468,302,31,130,647,62,41,519,1142,0.259,0.32299999999999995,0.391,0.715,96,2222,160,43,50,43,51,1160,0
1,ATL,21.0,27.2,3.38,96.0,66.0,0.593,3.18,162.0,162.0,161.0,1.0,12.0,0.0,53.0,1450.1,1326.0,548.0,512.0,127.0,409.0,35.0,1232.0,51.0,3.0,50.0,5989.0,118.0,3.44,1.196,8.2,0.8,2.5,7.6,3.01,1090.0,4.25,162,6133,5441,688,1354,247,21,181,656,64,31,542,1384,0.249,0.321,0.402,0.723,99,2186,119,55,58,35,36,1132,1
2,BAL,26.0,27.9,4.38,85.0,77.0,0.525,4.2,162.0,162.0,160.0,2.0,6.0,1.0,57.0,1453.0,1438.0,709.0,678.0,202.0,473.0,32.0,1169.0,50.0,3.0,38.0,6144.0,98.0,4.33,1.315,8.9,1.3,2.9,7.2,2.47,1076.0,4.6,162,6144,5620,745,1460,298,14,212,719,79,29,416,1125,0.26,0.313,0.431,0.7440000000000001,101,2422,105,36,27,45,36,1053,0
3,BOS,26.0,30.2,4.05,97.0,65.0,0.599,3.79,162.0,162.0,157.0,5.0,8.0,2.0,33.0,1454.0,1366.0,656.0,613.0,156.0,524.0,10.0,1294.0,47.0,5.0,47.0,6143.0,109.0,3.84,1.3,8.5,1.0,3.2,8.0,2.47,1125.0,5.27,162,6382,5651,853,1566,363,29,178,819,123,19,581,1308,0.27699999999999997,0.349,0.446,0.795,116,2521,137,72,24,50,51,1212,1
4,CHC,31.0,28.7,4.25,66.0,96.0,0.40700000000000003,4.0,162.0,162.0,159.0,3.0,6.0,1.0,39.0,1448.0,1332.0,689.0,643.0,160.0,540.0,43.0,1184.0,62.0,4.0,59.0,6149.0,97.0,4.1,1.2930000000000001,8.3,1.0,3.4,7.4,2.19,1116.0,3.72,162,6079,5498,602,1307,297,18,172,576,63,32,439,1230,0.23800000000000002,0.3,0.392,0.693,89,2156,120,67,43,30,28,1092,0
5,CHW,24.0,27.1,4.46,63.0,99.0,0.389,3.98,162.0,162.0,157.0,5.0,5.0,1.0,40.0,1455.0,1424.0,723.0,643.0,182.0,509.0,24.0,1249.0,60.0,4.0,62.0,6214.0,106.0,4.13,1.329,8.8,1.1,3.1,7.7,2.45,1126.0,3.69,162,6077,5563,598,1385,237,19,148,574,105,42,411,1207,0.249,0.302,0.37799999999999995,0.68,84,2104,124,34,19,48,23,1068,0
6,CIN,20.0,27.7,3.64,90.0,72.0,0.556,3.38,162.0,162.0,157.0,5.0,17.0,2.0,43.0,1473.2,1294.0,589.0,554.0,170.0,435.0,28.0,1296.0,66.0,5.0,44.0,6077.0,112.0,3.81,1.173,7.9,1.0,2.7,7.9,2.98,1067.0,4.31,162,6293,5499,698,1370,274,20,155,664,67,35,585,1245,0.249,0.327,0.391,0.718,98,2149,129,76,85,46,65,1191,1
7,CLE,28.0,27.5,4.09,92.0,70.0,0.568,3.82,162.0,162.0,159.0,3.0,16.0,3.0,38.0,1441.1,1359.0,662.0,611.0,147.0,554.0,26.0,1379.0,58.0,3.0,71.0,6154.0,100.0,3.73,1.327,8.5,0.9,3.5,8.6,2.49,1168.0,4.6,162,6165,5465,745,1391,290,23,171,711,117,36,562,1283,0.255,0.327,0.41,0.737,107,2240,106,51,31,56,19,1126,1
8,COL,23.0,28.3,4.69,74.0,88.0,0.457,4.44,162.0,162.0,161.0,1.0,5.0,0.0,35.0,1436.0,1545.0,760.0,708.0,136.0,517.0,52.0,1064.0,40.0,15.0,62.0,6248.0,101.0,3.96,1.436,9.7,0.9,3.2,6.7,2.06,1180.0,4.36,162,6152,5599,706,1511,283,36,159,673,112,32,427,1204,0.27,0.32299999999999995,0.418,0.741,91,2343,111,26,65,35,26,1118,0
9,DET,20.0,28.4,3.85,93.0,69.0,0.574,3.61,162.0,162.0,159.0,3.0,12.0,1.0,39.0,1462.2,1369.0,624.0,587.0,128.0,462.0,29.0,1428.0,42.0,7.0,63.0,6119.0,116.0,3.27,1.252,8.4,0.8,2.8,8.8,3.09,1107.0,4.91,162,6388,5735,796,1625,292,23,176,767,35,20,531,1073,0.28300000000000003,0.34600000000000003,0.434,0.78,111,2491,146,43,32,47,40,1250,1
