,Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G.1,PA,AB,R.1,H.1,2B,3B,HR.1,RBI,SB,CS,BB.1,SO.1,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP.1,SH,SF,IBB.1,LOB.1,post
10,HOU,26.0,27.2,5.23,51.0,111.0,0.315,4.79,162.0,162.0,160.0,2.0,5.0,1.0,32.0,1440.0,1530.0,848.0,766.0,191.0,616.0,32.0,1084.0,56.0,6.0,61.0,6370.0,85.0,4.67,1.49,9.6,1.2,3.9,6.8,1.76,1202.0,3.77,162,6020,5457,610,1307,266,16,148,566,110,61,426,1535,0.24,0.299,0.375,0.674,86,2049,110,52,46,38,17,1007,0
11,KCR,21.0,28.9,3.71,86.0,76.0,0.531,3.45,162.0,162.0,157.0,5.0,12.0,2.0,52.0,1448.1,1366.0,601.0,555.0,155.0,469.0,21.0,1208.0,41.0,4.0,60.0,6049.0,120.0,3.83,1.2670000000000001,8.5,1.0,2.9,7.5,2.58,1103.0,4.0,162,6093,5549,648,1443,254,34,112,620,153,32,422,1048,0.26,0.315,0.379,0.6940000000000001,89,2101,131,42,37,42,38,1110,0
12,LAA,26.0,29.1,4.55,78.0,84.0,0.48100000000000004,4.23,162.0,162.0,158.0,4.0,12.0,2.0,41.0,1457.2,1475.0,737.0,685.0,167.0,533.0,36.0,1200.0,45.0,4.0,74.0,6298.0,89.0,4.08,1.3780000000000001,9.1,1.0,3.3,7.4,2.25,1188.0,4.52,162,6260,5588,733,1476,270,39,164,696,82,34,523,1221,0.264,0.32899999999999996,0.414,0.743,110,2316,150,48,37,64,40,1144,0
13,LAD,27.0,28.1,3.59,92.0,70.0,0.568,3.25,162.0,162.0,155.0,7.0,22.0,4.0,46.0,1450.1,1321.0,582.0,524.0,127.0,460.0,44.0,1292.0,43.0,3.0,66.0,6032.0,110.0,3.44,1.228,8.2,0.8,2.9,8.0,2.81,1099.0,4.01,162,6145,5491,649,1447,281,17,138,618,78,28,476,1146,0.264,0.326,0.396,0.722,103,2176,130,57,71,48,45,1175,1
14,MIA,26.0,26.0,3.99,62.0,100.0,0.38299999999999995,3.71,162.0,162.0,160.0,2.0,13.0,1.0,36.0,1460.0,1376.0,646.0,602.0,121.0,526.0,58.0,1177.0,47.0,2.0,53.0,6166.0,104.0,3.69,1.3030000000000002,8.5,0.7,3.2,7.3,2.24,1140.0,3.17,162,6021,5449,513,1257,219,31,95,485,78,29,432,1232,0.231,0.293,0.335,0.627,73,1823,131,56,57,26,31,1080,0
15,MIL,21.0,28.8,4.24,74.0,88.0,0.457,3.84,162.0,162.0,158.0,4.0,15.0,2.0,40.0,1442.2,1401.0,687.0,615.0,175.0,466.0,29.0,1125.0,43.0,2.0,51.0,6100.0,101.0,4.12,1.294,8.7,1.1,2.9,7.0,2.41,1085.0,3.95,162,6064,5474,640,1381,238,43,157,610,142,50,407,1183,0.252,0.311,0.39799999999999996,0.708,93,2176,116,71,77,35,22,1071,0
16,MIN,23.0,28.3,4.86,66.0,96.0,0.40700000000000003,4.55,162.0,162.0,161.0,1.0,7.0,1.0,40.0,1450.1,1591.0,788.0,733.0,168.0,458.0,31.0,985.0,44.0,4.0,50.0,6257.0,90.0,4.23,1.413,9.9,1.0,2.8,6.1,2.15,1118.0,3.79,162,6212,5564,614,1346,285,15,151,590,52,33,533,1430,0.242,0.312,0.38,0.6920000000000001,90,2114,103,52,29,32,20,1206,0
17,NYM,29.0,29.1,4.22,74.0,88.0,0.457,3.77,162.0,162.0,158.0,4.0,10.0,2.0,40.0,1476.2,1442.0,684.0,618.0,152.0,458.0,38.0,1209.0,54.0,3.0,47.0,6249.0,95.0,3.79,1.287,8.8,0.9,2.8,7.4,2.64,1135.0,3.82,162,6207,5559,619,1318,263,32,130,593,114,35,512,1384,0.237,0.306,0.366,0.672,91,2035,106,51,53,32,40,1137,0
18,NYY,24.0,31.8,4.14,85.0,77.0,0.525,3.94,162.0,162.0,155.0,7.0,10.0,3.0,49.0,1447.1,1452.0,671.0,633.0,171.0,437.0,34.0,1233.0,51.0,1.0,57.0,6128.0,102.0,3.89,1.305,9.0,1.1,2.7,7.7,2.82,1115.0,4.01,162,6045,5449,650,1321,247,24,144,614,115,31,466,1214,0.242,0.307,0.376,0.6829999999999999,88,2048,121,57,36,36,33,1064,0
19,OAK,19.0,28.3,3.86,96.0,66.0,0.593,3.56,162.0,162.0,156.0,6.0,13.0,4.0,46.0,1452.0,1339.0,625.0,574.0,163.0,428.0,23.0,1183.0,35.0,1.0,56.0,6069.0,109.0,3.83,1.217,8.3,1.0,2.7,7.3,2.76,1088.0,4.73,162,6209,5521,767,1403,301,25,186,725,74,28,573,1178,0.254,0.327,0.419,0.745,107,2312,108,45,21,49,29,1126,1
20,PHI,27.0,28.7,4.62,73.0,89.0,0.451,4.32,162.0,162.0,156.0,6.0,3.0,2.0,32.0,1436.1,1465.0,749.0,689.0,152.0,506.0,33.0,1199.0,62.0,6.0,48.0,6213.0,87.0,3.94,1.3719999999999999,9.2,1.0,3.2,7.5,2.37,1155.0,3.77,162,6014,5456,610,1355,255,32,140,578,73,29,417,1205,0.248,0.306,0.384,0.69,91,2094,131,53,57,31,41,1061,0
21,PIT,29.0,28.7,3.56,94.0,68.0,0.58,3.26,162.0,162.0,159.0,3.0,16.0,0.0,55.0,1470.2,1299.0,577.0,533.0,101.0,515.0,26.0,1261.0,70.0,6.0,81.0,6147.0,109.0,3.42,1.2329999999999999,7.9,0.6,3.2,7.7,2.45,1158.0,3.91,162,6135,5486,634,1346,273,35,161,603,94,42,469,1330,0.245,0.313,0.396,0.7090000000000001,100,2172,120,88,62,29,41,1126,1
22,SDP,23.0,28.8,4.32,76.0,86.0,0.469,3.98,162.0,162.0,159.0,3.0,6.0,1.0,40.0,1455.0,1407.0,700.0,643.0,156.0,525.0,31.0,1171.0,40.0,2.0,51.0,6179.0,86.0,4.0,1.328,8.7,1.0,3.2,7.2,2.23,1114.0,3.81,162,6122,5517,618,1349,246,26,146,578,118,34,467,1309,0.245,0.308,0.37799999999999995,0.6859999999999999,97,2085,99,52,52,34,36,1126,0
23,SEA,22.0,28.0,4.65,71.0,91.0,0.43799999999999994,4.31,162.0,162.0,158.0,4.0,14.0,2.0,43.0,1465.0,1467.0,754.0,702.0,174.0,478.0,48.0,1297.0,42.0,1.0,74.0,6257.0,86.0,3.89,1.328,9.0,1.1,2.9,8.0,2.71,1108.0,3.85,162,6172,5558,624,1318,249,17,188,597,49,23,529,1353,0.237,0.306,0.39,0.695,98,2165,122,31,26,28,21,1131,0
24,SFG,21.0,29.6,4.27,76.0,86.0,0.469,4.0,162.0,162.0,160.0,2.0,13.0,2.0,41.0,1447.1,1380.0,691.0,643.0,145.0,521.0,64.0,1256.0,50.0,4.0,60.0,6163.0,87.0,3.8,1.3130000000000002,8.6,0.9,3.2,7.8,2.41,1130.0,3.88,162,6168,5552,629,1446,280,35,107,596,67,26,469,1078,0.26,0.32,0.381,0.7020000000000001,100,2117,131,39,66,42,40,1187,0
25,STL,25.0,26.9,3.68,97.0,65.0,0.599,3.42,162.0,162.0,155.0,7.0,15.0,4.0,44.0,1459.2,1366.0,596.0,555.0,112.0,451.0,26.0,1254.0,64.0,1.0,33.0,6104.0,110.0,3.39,1.245,8.4,0.7,2.8,7.7,2.78,1129.0,4.83,162,6202,5557,783,1494,322,20,125,745,45,22,481,1110,0.26899999999999996,0.332,0.401,0.733,102,2231,154,64,56,44,38,1087,1
26,TBR,21.0,29.0,3.96,92.0,71.0,0.564,3.74,163.0,163.0,154.0,9.0,17.0,3.0,42.0,1464.0,1315.0,646.0,608.0,153.0,482.0,38.0,1310.0,52.0,6.0,69.0,6083.0,103.0,3.71,1.227,8.1,0.9,3.0,8.1,2.72,1045.0,4.29,163,6242,5538,700,1421,296,23,165,670,73,38,589,1171,0.257,0.32899999999999996,0.408,0.737,106,2258,140,36,24,55,31,1172,1
27,TEX,25.0,27.9,3.9,91.0,72.0,0.5579999999999999,3.62,163.0,163.0,159.0,4.0,10.0,2.0,46.0,1463.1,1370.0,636.0,589.0,157.0,498.0,35.0,1309.0,48.0,5.0,68.0,6146.0,114.0,3.77,1.2770000000000001,8.4,1.0,3.1,8.1,2.63,1120.0,4.48,163,6196,5585,730,1465,262,23,176,691,149,46,462,1067,0.262,0.32299999999999995,0.41200000000000003,0.735,100,2301,124,61,45,42,26,1110,0
28,TOR,31.0,30.9,4.67,74.0,88.0,0.457,4.25,162.0,162.0,158.0,4.0,11.0,2.0,39.0,1452.0,1451.0,756.0,685.0,195.0,500.0,33.0,1208.0,65.0,7.0,54.0,6250.0,97.0,4.3,1.344,9.0,1.2,3.1,7.5,2.42,1138.0,4.4,162,6152,5537,712,1398,273,24,185,669,112,41,510,1123,0.252,0.318,0.41100000000000003,0.7290000000000001,99,2274,133,38,29,38,19,1065,0
29,WSN,21.0,27.7,3.86,86.0,76.0,0.531,3.59,162.0,162.0,156.0,6.0,13.0,4.0,47.0,1445.2,1367.0,626.0,576.0,142.0,405.0,17.0,1236.0,48.0,8.0,43.0,6038.0,106.0,3.56,1.226,8.5,0.9,2.5,7.7,3.05,1075.0,4.05,162,6047,5436,656,1365,259,27,161,621,88,28,464,1192,0.251,0.313,0.39799999999999996,0.71,94,2161,115,40,68,39,35,1071,0
