,Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G.1,PA,AB,R.1,H.1,2B,3B,HR.1,RBI,SB,CS,BB.1,SO.1,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP.1,SH,SF,IBB.1,LOB.1,post
10,FLA,31,27.1,4.43,80,82,0.494,4.08,162,162,157,5,17.0,2.0,39,1438.1,1433,717,652,134,549,42,1168,51,4,49,6217,102,3.92,1.3780000000000001,9.0,0.8,3.4,7.3,2.13,1185,4.44,162,6194,5531,719,1403,294,37,152,686,92,26,514,1375,0.254,0.321,0.40299999999999997,0.7240000000000001,92,2227,107,55,51,43,42,1154,0
11,HOU,25,29.6,4.5,76,86,0.469,4.09,162,162,158,4,11.0,2.0,45,1439.1,1446,729,654,140,548,39,1210,40,9,57,6221,97,3.89,1.385,9.0,0.9,3.4,7.6,2.21,1174,3.77,162,6005,5452,611,1348,252,25,108,577,100,36,415,1025,0.247,0.303,0.36200000000000004,0.665,81,1974,130,33,75,29,27,1060,0
12,KCR,25,27.5,5.22,67,95,0.414,4.97,162,162,155,7,3.0,1.0,44,1436.2,1553,845,794,176,551,28,1035,47,7,55,6333,85,4.48,1.465,9.7,1.1,3.5,6.5,1.88,1178,4.17,162,6209,5604,676,1534,279,31,121,640,115,50,471,905,0.27399999999999997,0.331,0.39899999999999997,0.73,100,2238,152,35,45,53,25,1173,0
13,LAA,21,28.3,4.33,80,82,0.494,4.04,162,162,152,10,9.0,3.0,39,1449.1,1422,702,651,148,565,33,1130,46,6,80,6252,99,4.11,1.371,8.8,0.9,3.5,7.0,2.0,1202,4.2,162,6089,5488,681,1363,276,19,155,656,104,52,466,1070,0.248,0.311,0.39,0.7020000000000001,94,2142,125,52,42,37,28,1049,0
14,LAD,24,28.1,4.27,80,82,0.494,4.01,162,162,158,4,16.0,4.0,41,1441.2,1323,692,643,134,539,75,1274,58,8,58,6141,97,3.76,1.2919999999999998,8.3,0.8,3.4,8.0,2.36,1124,4.12,162,6140,5426,667,1368,270,29,120,621,92,50,533,1184,0.252,0.322,0.379,0.7,92,2056,123,46,85,50,57,1142,0
15,MIL,25,29.2,4.96,77,85,0.475,4.58,162,162,159,3,7.0,3.0,35,1439.0,1487,804,733,173,582,42,1258,48,3,71,6324,88,4.21,1.4380000000000002,9.3,1.1,3.6,7.9,2.16,1203,4.63,162,6304,5606,750,1471,293,33,182,710,81,26,546,1216,0.262,0.335,0.424,0.759,103,2376,115,81,35,35,35,1220,0
16,MIN,21,28.6,4.14,94,68,0.58,3.95,162,162,153,9,13.0,3.0,40,1452.2,1493,671,638,155,383,19,1048,47,4,41,6106,103,3.91,1.291,9.2,1.0,2.4,6.5,2.74,1077,4.82,162,6257,5568,781,1521,318,41,142,749,68,28,559,967,0.273,0.341,0.42200000000000004,0.762,109,2347,159,39,38,53,45,1156,1
17,NYM,20,29.5,4.02,79,83,0.488,3.7,162,162,154,8,19.0,4.0,36,1453.0,1438,652,597,135,545,55,1106,52,5,48,6245,105,4.0,1.365,8.9,0.8,3.4,6.9,2.03,1234,4.05,162,6144,5465,656,1361,266,40,128,625,130,44,502,1095,0.249,0.314,0.38299999999999995,0.6970000000000001,90,2091,101,46,74,57,53,1124,0
18,NYY,21,30.3,4.28,95,67,0.586,4.06,162,162,159,3,8.0,0.0,39,1442.1,1349,693,651,179,540,37,1154,62,6,69,6102,107,4.34,1.31,8.4,1.1,3.4,7.2,2.14,1082,5.3,162,6379,5567,859,1485,275,32,201,823,103,30,662,1136,0.267,0.35,0.436,0.7859999999999999,108,2427,124,73,33,44,36,1228,1
19,OAK,23,26.0,3.86,81,81,0.5,3.56,162,162,155,7,17.0,3.0,38,1431.2,1315,626,566,153,512,29,1070,38,8,42,6011,115,4.13,1.276,8.3,1.0,3.2,6.7,2.09,1090,4.09,162,6117,5448,663,1396,276,30,109,619,156,38,527,1061,0.256,0.324,0.37799999999999995,0.7020000000000001,92,2059,129,47,43,51,16,1159,0
20,PHI,21,31.1,3.95,97,65,0.599,3.67,162,162,148,14,21.0,6.0,40,1456.1,1402,640,594,168,416,42,1183,57,5,26,6095,111,3.93,1.248,8.7,1.0,2.6,7.3,2.84,1086,4.77,162,6291,5581,772,1451,290,34,166,736,108,21,560,1064,0.26,0.332,0.413,0.745,98,2307,120,63,44,43,69,1194,1
21,PIT,28,28.6,5.35,57,105,0.35200000000000004,5.0,162,162,161,1,6.0,1.0,31,1411.2,1567,866,784,167,538,40,1026,66,10,56,6300,81,4.45,1.4909999999999999,10.0,1.1,3.4,6.5,1.91,1199,3.62,162,5974,5386,587,1303,276,27,126,570,87,36,463,1207,0.242,0.304,0.373,0.6779999999999999,84,2011,119,33,58,33,28,1078,0
22,SDP,19,27.2,3.59,90,72,0.556,3.39,162,162,160,2,20.0,2.0,49,1456.1,1305,581,549,139,517,51,1295,28,5,29,6058,108,3.66,1.251,8.1,0.9,3.2,8.0,2.5,1108,4.1,162,6148,5434,665,1338,236,24,132,630,124,50,538,1183,0.24600000000000002,0.317,0.371,0.6890000000000001,93,2018,106,50,79,46,67,1125,0
23,SEA,22,27.1,4.31,61,101,0.377,3.93,162,162,151,11,10.0,2.0,38,1438.0,1402,698,628,157,452,33,973,40,11,73,6091,100,4.17,1.2890000000000001,8.8,1.0,2.8,6.1,2.15,1079,3.17,162,5989,5409,513,1274,227,16,101,485,142,39,459,1184,0.23600000000000002,0.298,0.33899999999999997,0.637,79,1836,110,39,42,40,33,1116,0
24,SFG,19,27.9,3.6,92,70,0.568,3.36,162,162,156,6,17.0,3.0,57,1461.0,1279,583,546,134,578,58,1331,51,4,74,6159,117,3.74,1.271,7.9,0.8,3.6,8.2,2.3,1193,4.3,162,6143,5488,697,1411,284,30,162,660,55,32,487,1099,0.257,0.321,0.408,0.7290000000000001,98,2241,158,50,76,41,53,1092,1
25,STL,22,30.2,3.96,86,76,0.531,3.57,162,162,155,7,16.0,3.0,32,1453.2,1412,641,577,133,477,32,1094,48,4,42,6137,109,3.85,1.2990000000000002,8.7,0.8,3.0,6.8,2.29,1135,4.54,162,6241,5542,736,1456,285,18,150,689,79,41,541,1027,0.263,0.332,0.402,0.733,100,2227,124,50,66,40,78,1164,0
26,TBR,17,28.0,4.01,96,66,0.593,3.78,162,162,156,6,12.0,3.0,51,1453.2,1347,649,611,175,478,34,1189,46,9,60,6103,103,4.09,1.255,8.3,1.1,3.0,7.4,2.49,1093,4.95,162,6270,5439,802,1343,295,37,160,769,172,47,672,1292,0.247,0.33299999999999996,0.40299999999999997,0.736,105,2192,92,57,39,57,30,1152,1
27,TEX,22,27.6,4.24,90,72,0.556,3.93,162,162,155,7,8.0,0.0,46,1455.1,1355,687,636,162,551,24,1181,63,4,56,6213,114,4.17,1.31,8.4,1.0,3.4,7.3,2.14,1160,4.86,162,6302,5635,787,1556,268,25,162,740,123,48,511,986,0.276,0.33799999999999997,0.419,0.757,98,2360,129,45,53,54,37,1174,1
28,TOR,24,28.0,4.49,85,77,0.525,4.22,162,162,157,5,11.0,2.0,45,1440.2,1407,728,676,150,539,35,1184,60,3,69,6165,100,4.04,1.351,8.8,0.9,3.4,7.4,2.2,1115,4.66,162,6072,5495,755,1364,319,21,257,732,58,20,471,1164,0.248,0.312,0.45399999999999996,0.7659999999999999,105,2496,114,55,16,34,25,1017,0
29,WSN,26,28.0,4.58,69,93,0.426,4.13,162,162,160,2,5.0,1.0,37,1435.0,1469,742,658,151,512,57,1068,46,7,33,6214,98,4.12,1.38,9.2,0.9,3.2,6.7,2.09,1167,4.04,162,6100,5418,655,1355,250,31,149,634,110,41,503,1220,0.25,0.318,0.39,0.708,91,2114,125,60,71,47,36,1113,0
