,Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,R/G,G.1,PA,AB,R.1,H.1,2B,3B,HR.1,RBI,SB,CS,BB.1,SO.1,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP.1,SH,SF,IBB.1,LOB.1,post
0,ARI,28,27.9,5.16,65,97,0.401,4.81,162,162,159,3,3.0,1.0,35,1432.0,1503,836,765,210,548,38,1070,58,4,82,6260,89,4.76,1.432,9.4,1.3,3.4,6.7,1.95,1128,4.4,162,6183,5473,713,1366,301,34,180,691,86,41,589,1529,0.25,0.325,0.41600000000000004,0.74,94,2275,113,39,41,41,45,1139,0
1,ATL,21,30.1,3.88,91,71,0.562,3.56,162,162,160,2,9.0,0.0,41,1439.1,1326,629,569,126,505,64,1241,49,3,42,6052,110,3.65,1.272,8.3,0.8,3.2,7.8,2.46,1105,4.56,162,6252,5463,738,1411,312,25,139,699,63,29,634,1140,0.258,0.33899999999999997,0.401,0.74,101,2190,136,51,69,35,50,1222,1
2,BAL,23,28.4,4.85,66,96,0.40700000000000003,4.59,162,162,159,3,7.0,0.0,35,1436.1,1508,785,733,186,520,45,1007,59,5,45,6262,91,4.57,1.412,9.4,1.2,3.3,6.3,1.94,1168,3.78,162,6109,5554,613,1440,264,21,133,577,76,34,424,1056,0.259,0.316,0.386,0.7020000000000001,92,2145,154,54,31,45,32,1139,0
3,BOS,25,29.6,4.59,89,73,0.5489999999999999,4.2,162,162,159,3,9.0,1.0,44,1456.2,1402,744,679,152,580,30,1207,53,3,58,6267,104,4.08,1.361,8.7,0.9,3.6,7.5,2.08,1153,5.05,162,6356,5646,818,1511,358,22,211,782,68,17,587,1140,0.268,0.33899999999999997,0.451,0.79,109,2546,130,47,29,46,43,1200,0
4,CHC,23,28.2,4.73,75,87,0.46299999999999997,4.18,162,162,161,1,14.0,0.0,40,1436.2,1409,767,668,154,605,42,1268,65,6,46,6298,100,4.11,1.402,8.8,1.0,3.8,7.9,2.1,1221,4.23,162,6140,5512,685,1414,298,27,149,658,55,31,479,1236,0.257,0.32,0.401,0.721,90,2213,124,50,60,38,32,1129,0
5,CHW,20,29.0,4.35,88,74,0.5429999999999999,4.09,162,162,156,6,11.0,2.0,43,1446.1,1471,704,658,136,490,41,1149,34,9,59,6180,105,3.8,1.3559999999999999,9.2,0.8,3.0,7.1,2.34,1137,4.64,162,6118,5484,752,1467,263,21,177,710,160,74,467,922,0.268,0.332,0.42,0.752,102,2303,148,79,50,38,23,1046,0
6,CIN,23,28.2,4.23,91,71,0.562,4.01,162,162,158,4,9.0,2.0,43,1453.0,1404,685,648,158,524,32,1130,50,6,48,6182,102,4.12,1.327,8.7,1.0,3.2,7.0,2.16,1138,4.88,162,6285,5579,790,1515,293,30,188,761,93,43,522,1218,0.272,0.33799999999999997,0.436,0.774,106,2432,113,68,66,50,34,1174,1
7,CLE,22,26.6,4.64,69,93,0.426,4.3,162,162,152,10,4.0,2.0,34,1433.0,1477,752,684,147,572,36,967,66,3,54,6224,92,4.4,1.43,9.3,0.9,3.6,6.1,1.69,1173,3.99,162,6165,5487,646,1362,290,20,128,601,91,33,545,1184,0.248,0.322,0.37799999999999995,0.7,96,2076,118,64,36,33,34,1186,0
8,COL,23,28.1,4.43,83,79,0.512,4.14,162,162,156,6,12.0,2.0,35,1442.0,1405,717,663,139,525,54,1234,56,12,77,6143,112,3.83,1.338,8.8,0.9,3.3,7.7,2.35,1100,4.75,162,6265,5530,770,1452,270,54,173,741,99,42,585,1274,0.263,0.336,0.425,0.76,92,2349,103,47,56,47,53,1175,0
9,DET,20,26.5,4.59,81,81,0.5,4.3,162,162,156,6,5.0,1.0,32,1444.1,1445,743,690,142,537,29,1056,65,9,75,6198,98,4.15,1.3719999999999999,9.0,0.9,3.3,6.6,1.97,1122,4.64,162,6312,5643,751,1515,308,32,152,717,69,30,546,1147,0.268,0.335,0.415,0.75,102,2343,118,41,41,41,50,1229,0
